date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:09:44	149/149	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Apr%202019%2020:09:44%20GMT	http://goldbots.glitch.me/robots.txt		(from )
22:09:44	6500/6500	---M--	200	added ('OK')	text/html	etag:W/%221964-eF+qSJsMGrPDnfLP/EWvEiix65Y%22	http://goldbots.glitch.me/	C:/My%20Web%20Sites/goldbots/goldbots.glitch.me/index.html	(from )
22:09:49	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%221550076050%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	C:/My%20Web%20Sites/goldbots/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from http://goldbots.glitch.me/)
22:09:54	151/151	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Apr%202019%2020:09:54%20GMT	http://goldbots.glitch.me/css/main.css	C:/My%20Web%20Sites/goldbots/goldbots.glitch.me/css/main.css	(from http://goldbots.glitch.me/)
22:09:55	87/87	---M--	200	added ('OK')	application/javascript	etag:W/%2257-16a5fed4778%22	http://goldbots.glitch.me/main.js	C:/My%20Web%20Sites/goldbots/goldbots.glitch.me/main.js	(from http://goldbots.glitch.me/)
22:09:55	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	C:/My%20Web%20Sites/goldbots/use.fontawesome.com/releases/v5.7.2/css/all.css	(from http://goldbots.glitch.me/)
22:09:55	1539/1539	---M--	200	added ('OK')	text/css	etag:W/%22603-16a5fff6fe8%22	http://goldbots.glitch.me/style.css	C:/My%20Web%20Sites/goldbots/goldbots.glitch.me/style.css	(from http://goldbots.glitch.me/)
22:09:55	23490/23490	---M-Z	200	added ('OK')	text/css	etag:%220b9a55eeebed41:0%22	https://www.w3schools.com/w3css/4/w3.css	C:/My%20Web%20Sites/goldbots/www.w3schools.com/w3css/4/w3.css	(from http://goldbots.glitch.me/)
22:10:00	69917/69917	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a637bd4-1111d%22	https://code.jquery.com/jquery-3.3.1.slim.min.js	C:/My%20Web%20Sites/goldbots/code.jquery.com/jquery-3.3.1.slim.min.js	(from http://goldbots.glitch.me/)
22:10:01	21004/21004	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c5043f8-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	C:/My%20Web%20Sites/goldbots/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from http://goldbots.glitch.me/)
